pos	chr	cM
100000	25	0.46209359834809
200000	25	0.963606188061385
300000	25	1.33611607829693
400000	25	1.83185544889339
500000	25	2.37669608050376
600000	25	2.72223474717031
700000	25	3.11801135800043
800000	25	3.46486670854728
900000	25	3.82851788571987
1000000	25	4.21345604910627
1100000	25	4.56826815886211
1200000	25	4.96989795428349
1300000	25	5.31468172488857
1400000	25	5.63206960262197
1500000	25	6.61829352808684
1600000	25	7.43968089860749
1700000	25	7.88699527309136
1800000	25	8.40404911570939
1900000	25	8.90770765893805
2000000	25	9.41821617732313
2100000	25	9.86023607670386
2200000	25	10.4132480584056
2300000	25	10.961460976846
2400000	25	11.567356132821
2500000	25	12.0821518835865
2600000	25	12.6162483391241
2700000	25	13.1672501624099
2800000	25	13.7324037135299
2900000	25	14.2215530976657
3000000	25	14.4874862498119
3100000	25	14.7470270952113
3200000	25	15.1122388876854
3300000	25	15.958839636806
3400000	25	16.8253482003958
3500000	25	17.6832837672082
3600000	25	18.5649709874612
3700000	25	19.3907178569957
3800000	25	20.1692128942149
3900000	25	20.6446520103029
4000000	25	21.1229231121575
4100000	25	21.8323265960084
4200000	25	22.6990778309013
4300000	25	23.5407461300814
4400000	25	24.1879012273496
4500000	25	24.5142263560392
4600000	25	24.909992373565
4700000	25	25.4556929824722
4800000	25	25.9153850439505
4900000	25	26.3179421197503
5000000	25	26.7052907363028
5100000	25	27.0972178014304
5200000	25	27.4975248066244
5300000	25	27.8930126027821
5400000	25	28.2710229105088
5500000	25	28.6377472044264
5600000	25	28.9991357444178
5700000	25	29.3514331131498
5800000	25	29.7133923845581
5900000	25	30.0582974726715
6000000	25	30.4217391018106
6100000	25	30.7890288106398
6200000	25	31.1283271709203
6300000	25	31.4882811155343
6400000	25	31.845124383259
6500000	25	32.1888831215015
6600000	25	32.6786281050115
6700000	25	33.1338018341091
6800000	25	33.6386091917977
6900000	25	34.1394097803005
7000000	25	34.7395927672978
7200000	25	35.0381011993189
7300000	25	35.3289370306443
7400000	25	35.7060482763718
7500000	25	36.0946655665315
7600000	25	36.4770463071252
7700000	25	36.8538186198657
7800000	25	37.0070865701142
7900000	25	37.1678243580356
8000000	25	37.3859984899286
8100000	25	37.8069488980635
8200000	25	38.2275283170916
8300000	25	38.6061645848131
8400000	25	38.914344586058
8500000	25	39.1920132575079
8600000	25	39.3951883776744
8700000	25	39.6139533022453
8800000	25	39.8704633526431
8900000	25	40.1292738614444
9000000	25	40.3846341520763
9100000	25	40.6039588866736
9200000	25	40.8125908503531
9300000	25	40.955348595864
9400000	25	41.2100661327133
9500000	25	41.5120480187186
9600000	25	41.8148887287915
9700000	25	42.0396874378765
9800000	25	42.2083603641188
9900000	25	42.4000635965367
10000000	25	42.592894656962
10100000	25	42.8164959253116
10200000	25	42.9680780504641
10300000	25	43.2050933028347
10400000	25	43.3611760234768
10500000	25	43.5119555943789
10600000	25	43.7372343897332
10700000	25	43.9524356448727
10800000	25	44.2651933155166
10900000	25	44.5791343980179
11000000	25	44.8934581845681
11100000	25	45.1390209959553
11200000	25	45.327938030124
11300000	25	45.5491496700357
11400000	25	45.7676637892554
11500000	25	45.9887464913614
11600000	25	46.2075681668074
11700000	25	46.5730173260201
11800000	25	47.0252153862684
11900000	25	47.489958817441
12000000	25	47.9466855453105
12100000	25	48.2464923152165
12200000	25	48.4289302804446
12300000	25	48.6297589129729
12400000	25	48.9273233800933
12500000	25	49.2248400247497
12600000	25	49.4404219335145
12700000	25	49.5919139516157
12800000	25	49.8959302827132
12900000	25	50.2614922071051
13000000	25	50.6094703167836
13100000	25	50.8074617441327
13200000	25	50.983885297416
13300000	25	51.2210472059921
13400000	25	51.4528782077985
13500000	25	51.6878385808641
13600000	25	51.8647397320616
13700000	25	52.0046168017681
13800000	25	52.1211090396909
13900000	25	52.2321651743726
14000000	25	52.3495914651057
14100000	25	52.5511481921738
14200000	25	52.7318295319748
14400000	25	53.726480866031
14700000	25	54.7211137977491
14800000	25	55.7130149947634
14900000	25	56.378
