pos	chr	cM
100000	10	0.324890972344012
200000	10	0.631259498140272
300000	10	0.901017339553498
400000	10	1.38489638352493
500000	10	1.70002144092252
600000	10	2.10609583315471
700000	10	2.51296721024245
800000	10	2.91719722574066
900000	10	3.32802757330263
1000000	10	3.72446300266887
1100000	10	4.13116594503984
1200000	10	4.59959271282562
1300000	10	5.21211754273579
1400000	10	5.83398778793962
1500000	10	6.467174217345
1600000	10	7.27312001420627
1700000	10	8.46184203290202
1800000	10	9.67843883246731
1900000	10	10.8965797169258
2000000	10	12.0859835360579
2100000	10	13.2279625059501
2200000	10	14.4168841564673
2300000	10	15.6115176967481
2400000	10	16.7770580181002
2500000	10	17.3639174662987
2600000	10	18.0741367238814
2700000	10	19.0969150567272
2800000	10	20.0379804656748
2900000	10	20.9158900352068
3000000	10	21.7699115328044
3100000	10	22.643389478178
3200000	10	23.5126534205035
3300000	10	24.3715793370209
3400000	10	25.2304142767595
3500000	10	26.0883781390819
3600000	10	26.9370463994685
3700000	10	27.7489922010671
3800000	10	28.5589177746285
3900000	10	29.3643207955752
4000000	10	30.1725926909043
4100000	10	30.9842509323167
4200000	10	31.7937015625048
4300000	10	32.6039795623842
4400000	10	33.4000345658897
4500000	10	34.0605213929157
4600000	10	34.3872894695506
4700000	10	34.6685698758624
4800000	10	35.3296314951384
4900000	10	35.9674777288988
5000000	10	36.3935082769607
5100000	10	36.6838524565586
5200000	10	36.9837041875509
5300000	10	37.2616286422387
5400000	10	37.5519048815935
5500000	10	37.8700856624535
5600000	10	38.2094341832869
5700000	10	38.518394107126
5800000	10	38.9292013922505
5900000	10	39.4382710049901
6000000	10	39.9397282896282
6100000	10	40.4100479264172
6200000	10	40.8182393182781
6300000	10	41.2314887661282
6400000	10	41.6488858273016
6500000	10	41.9233100203626
6600000	10	42.1473098332669
6700000	10	42.4125045784422
6800000	10	42.5299250609275
6900000	10	42.8108916589122
7000000	10	43.1469198443828
7100000	10	43.4049813713171
7200000	10	43.6388548744742
7300000	10	43.8301652190391
7400000	10	44.0280146858721
7500000	10	44.2231485466256
7600000	10	44.5672524490612
7700000	10	44.7134191311612
7800000	10	44.8687540678341
7900000	10	45.0192335550413
8000000	10	45.1744717637358
8100000	10	45.3315565216303
8200000	10	45.4819561007837
8300000	10	45.6339168039468
8400000	10	45.7907075174274
8500000	10	45.999083367999
8600000	10	46.2695192679241
8700000	10	46.4455477038188
8800000	10	46.7082124872076
8900000	10	46.8383900754158
9000000	10	46.9690062352872
9100000	10	47.1153864130643
9200000	10	47.2083139765968
9300000	10	47.360188262498
9400000	10	47.4449015258963
9500000	10	47.5055282721024
9600000	10	47.5719591120588
9700000	10	47.6355098297458
9800000	10	47.8199235249339
9900000	10	48.2156593971783
10000000	10	48.3376878397836
10100000	10	48.3806681799502
10200000	10	48.4189579367696
10300000	10	48.4644505421331
10400000	10	48.5578809545811
10500000	10	48.6169391953069
10600000	10	48.6847598871435
10700000	10	48.8541443375101
10800000	10	48.9110815799181
10900000	10	48.9999442217428
11000000	10	49.0868151682417
11100000	10	49.1455399553837
11200000	10	49.2124612456373
11300000	10	49.2621815422234
11400000	10	50.002109468043
11500000	10	50.2162487866343
11600000	10	50.2495267255698
11700000	10	50.3042041788679
11800000	10	50.3465766505273
11900000	10	50.383011424023
12100000	10	50.4220102224886
12200000	10	50.4262672272612
12300000	10	50.431564632298
12400000	10	50.4465997167739
12500000	10	50.4614421287936
12600000	10	50.4707779252427
12700000	10	50.563050628659
12800000	10	50.5776355692505
12900000	10	50.6087055410949
13000000	10	50.6373013545587
13100000	10	50.6692702101569
13200000	10	50.7023662784611
13300000	10	50.7288817296779
13400000	10	50.7463158895667
13500000	10	50.7612539802903
13600000	10	50.7741165321125
13700000	10	50.8140183289132
13800000	10	50.9123311515204
13900000	10	51.0278012858696
14000000	10	51.0814906655447
14100000	10	51.0956575145218
14200000	10	51.1234007455044
14300000	10	51.1420905747302
14400000	10	51.165513221498
14500000	10	51.1871210754626
14600000	10	51.2740922498422
14700000	10	51.3452340541948
14800000	10	51.4186250165993
